"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Survey response rate,Footnote for Survey response rate,Footnote Number
058246,Not Available,9,Not Available,9,67,9,Not Available,9,56,9,Not Available,9,68,9,Not Available,9,68,9,63,9,8,9,12,9,9
058247,Not Available,9,Not Available,9,65,9,Not Available,9,28,9,Not Available,9,27,9,Not Available,9,6,9,6,9,2,9,4,9,9
058248,Not Available,11,Not Available,11,93,11,Not Available,11,86,11,Not Available,11,69,11,Not Available,11,85,11,86,11,19,11,8,11,11
058250,Not Available,11,Not Available,11,91,11,Not Available,11,85,11,Not Available,11,91,11,Not Available,11,94,11,86,11,16,11,21,11,11
058252,Not Available,11,Not Available,11,83,11,Not Available,11,80,11,Not Available,11,92,11,Not Available,11,80,11,76,11,34,11,18,11,11
058253,Not Available,11,Not Available,11,83,11,Not Available,11,84,11,Not Available,11,94,11,Not Available,11,78,11,84,11,39,11,14,11,11
058255,3,,3,,88,,4,,84,,3,,78,,2,,84,,73,,115,,28,,
058258,4,,4,,90,,5,,88,,4,,89,,4,,86,,89,,102,,30,,
058259,Not Available,11,Not Available,11,87,11,Not Available,11,81,11,Not Available,11,76,11,Not Available,11,88,11,70,11,23,11,16,11,11
058261,Not Available,11,Not Available,11,93,11,Not Available,11,91,11,Not Available,11,85,11,Not Available,11,85,11,94,11,14,11,22,11,11
058262,Not Available,11,Not Available,11,94,11,Not Available,11,93,11,Not Available,11,85,11,Not Available,11,93,11,94,11,13,11,25,11,11
058263,3,,3,,88,,3,,82,,4,,85,,3,,83,,72,,268,,33,,
058264,3,,4,,88,,3,,84,,2,,75,,3,,77,,79,,86,,29,,
058265,Not Available,11,Not Available,11,95,11,Not Available,11,93,11,Not Available,11,89,11,Not Available,11,92,11,65,11,23,11,26,11,11
058266,Not Available,11,Not Available,11,77,11,Not Available,11,77,11,Not Available,11,80,11,Not Available,11,63,11,65,11,26,11,15,11,11
058268,Not Available,11,Not Available,11,92,11,Not Available,11,94,11,Not Available,11,84,11,Not Available,11,94,11,88,11,12,11,12,11,11
058269,Not Available,11,Not Available,11,80,11,Not Available,11,78,11,Not Available,11,76,11,Not Available,11,68,11,69,11,37,11,11,11,11
058270,Not Available,9,Not Available,9,100,9,Not Available,9,100,9,Not Available,9,99,9,Not Available,9,85,9,100,9,5,9,6,9,9
058273,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
058274,Not Available,9,Not Available,9,86,9,Not Available,9,86,9,Not Available,9,84,9,Not Available,9,88,9,58,9,9,9,8,9,9
058277,3,,3,,87,,4,,87,,3,,79,,3,,82,,74,,465,,28,,
058278,4,,4,,90,,5,,89,,3,,81,,4,,87,,81,,104,,34,,
058281,Not Available,9,Not Available,9,84,9,Not Available,9,84,9,Not Available,9,84,9,Not Available,9,69,9,69,9,3,9,16,9,9
058283,Not Available,11,Not Available,11,82,11,Not Available,11,86,11,Not Available,11,76,11,Not Available,11,75,11,80,11,35,11,26,11,11
058284,3,11,3,11,85,11,2,11,80,11,3,11,77,11,2,11,83,11,70,11,41,11,12,11,11
058285,Not Available,11,Not Available,11,86,11,Not Available,11,84,11,Not Available,11,60,11,Not Available,11,69,11,63,11,29,11,12,11,11
058286,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
058287,3,11,3,11,86,11,2,11,76,11,3,11,79,11,3,11,87,11,80,11,49,11,15,11,11
058288,Not Available,9,Not Available,9,79,9,Not Available,9,78,9,Not Available,9,68,9,Not Available,9,83,9,62,9,9,9,8,9,9
058289,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
058290,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
058292,4,,4,,89,,3,,82,,3,,83,,4,,82,,77,,149,,30,,
058293,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
058294,5,11,5,11,100,11,5,11,100,11,5,11,99,11,5,11,100,11,100,11,44,11,36,11,11
058296,Not Available,11,Not Available,11,92,11,Not Available,11,97,11,Not Available,11,75,11,Not Available,11,96,11,91,11,18,11,12,11,11
058297,Not Available,9,Not Available,9,76,9,Not Available,9,89,9,Not Available,9,58,9,Not Available,9,67,9,65,9,3,9,6,9,9
